seed,condition,step,analysis_label,non_renormalized_label,accuracy_A,accuracy_B,routing_specialization,router_entropy,causal_specialization_renormalized,causal_specialization_non_renormalized
13,BLOCKED_AB,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9778800010681152,0.9757800102233887,0.7320387363433838,0.38178904354572296,0.4354400038719177,0.3875900208950043
13,BLOCKED_AB,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9887999892234802,0.9879000186920166,0.7325209379196167,0.383235827088356,0.4450100064277649,0.3961999714374542
13,BLOCKED_AB,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.5024399757385254,0.9704200029373169,0.015028327703475952,0.6715461015701294,0.11295002698898315,0.11377003788948059
13,BLOCKED_BA,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9771400094032288,0.9791799783706665,0.5059611201286316,0.5377691686153412,0.3637000024318695,0.3459300100803375
13,BLOCKED_BA,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9874600172042847,0.9892799854278564,0.5100442171096802,0.5353153347969055,0.37351998686790466,0.3518100082874298
13,BLOCKED_BA,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9727799892425537,0.502780020236969,0.04056970775127411,0.676114022731781,0.18225997686386108,0.17902997136116028
13,INTERLEAVED,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9819599986076355,0.9771599769592285,0.31966227293014526,0.5954055786132812,0.13026002049446106,0.13357999920845032
13,INTERLEAVED,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9886199831962585,0.987779974937439,0.30410969257354736,0.6017115116119385,0.12231998145580292,0.12490001320838928
13,INTERLEAVED,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9540799856185913,0.966759979724884,0.3344000577926636,0.6025060415267944,0.10526999831199646,0.11269998550415039
14,BLOCKED_AB,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9733399748802185,0.9736800193786621,0.37412798404693604,0.5623362064361572,0.19587001204490662,0.17941001057624817
14,BLOCKED_AB,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9887199997901917,0.9876000285148621,0.3714013695716858,0.5612400770187378,0.20550000667572021,0.18828999996185303
14,BLOCKED_AB,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.49803999066352844,0.9744399785995483,0.005408942699432373,0.6806423366069794,0.03925001621246338,0.050480008125305176
14,BLOCKED_BA,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9773200154304504,0.980180025100708,0.7760665416717529,0.3355768173933029,0.4501899480819702,0.37290000915527344
14,BLOCKED_BA,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9886000156402588,0.9894999861717224,0.7821956276893616,0.32976222038269043,0.45885998010635376,0.3782099783420563
14,BLOCKED_BA,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9733800292015076,0.5062400102615356,0.012539207935333252,0.6628613770008087,0.0499500036239624,0.05390003323554993
14,INTERLEAVED,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.976360023021698,0.9797400236129761,0.70222008228302,0.39369484782218933,0.3523299992084503,0.3422200083732605
14,INTERLEAVED,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9883999824523926,0.9880399703979492,0.7063591480255127,0.3912317305803299,0.35850998759269714,0.3500499725341797
14,INTERLEAVED,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9642400145530701,0.9710400104522705,0.6433860659599304,0.44591203331947327,0.2960999608039856,0.29354000091552734
15,BLOCKED_AB,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9821000099182129,0.9792600274085999,0.7521241903305054,0.36916375160217285,0.4687199592590332,0.3611900210380554
15,BLOCKED_AB,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9895200133323669,0.9886400103569031,0.7565637826919556,0.3644196093082428,0.48027998208999634,0.37099000811576843
15,BLOCKED_AB,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.49779999256134033,0.9679399728775024,0.04960130155086517,0.6556799709796906,0.13098998367786407,0.13178998231887817
15,BLOCKED_BA,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9814000129699707,0.9806600213050842,0.6887645125389099,0.42294152081012726,0.41729000210762024,0.3471600115299225
15,BLOCKED_BA,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9871799945831299,0.9887800216674805,0.7017999887466431,0.4134005308151245,0.43007001280784607,0.3504200279712677
15,BLOCKED_BA,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9721800088882446,0.5089600086212158,0.019137457013130188,0.6684161722660065,0.14514000713825226,0.15231996774673462
15,INTERLEAVED,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9778199791908264,0.9785000085830688,0.3958338499069214,0.5848844945430756,0.1905899941921234,0.17924997210502625
15,INTERLEAVED,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9876599907875061,0.9879800081253052,0.38211530447006226,0.5901290774345398,0.19291001558303833,0.18314000964164734
15,INTERLEAVED,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9508399963378906,0.9547600150108337,0.3598364293575287,0.6092207729816437,0.16098999977111816,0.15597999095916748
16,BLOCKED_AB,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9794999957084656,0.9748600125312805,0.6623578667640686,0.41494758427143097,0.41460999846458435,0.38543999195098877
16,BLOCKED_AB,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9890000224113464,0.9879800081253052,0.6616852283477783,0.41586779057979584,0.4154300093650818,0.379800021648407
16,BLOCKED_AB,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.4986799955368042,0.9713799953460693,0.021840080618858337,0.6795859932899475,0.05975998938083649,0.0679900050163269
16,BLOCKED_BA,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9799000024795532,0.9743199944496155,0.21612586081027985,0.6249910891056061,0.16944003105163574,0.17910003662109375
16,BLOCKED_BA,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9880399703979492,0.9882599711418152,0.219156876206398,0.6221528053283691,0.1780499815940857,0.18699997663497925
16,BLOCKED_BA,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9732800126075745,0.5052800178527832,0.01924915611743927,0.6582359075546265,0.345039963722229,0.33225998282432556
16,INTERLEAVED,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9800199866294861,0.9802799820899963,0.07108186185359955,0.6463859379291534,0.060979992151260376,0.05910000205039978
16,INTERLEAVED,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9880599975585938,0.9882799983024597,0.06273236870765686,0.6472111344337463,0.06759998202323914,0.06564000248908997
16,INTERLEAVED,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9530799984931946,0.9647600054740906,0.10816869139671326,0.6571009755134583,0.03597000241279602,0.03485000133514404
17,BLOCKED_AB,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9785799980163574,0.9821000099182129,0.8016501665115356,0.3173118084669113,0.47356998920440674,0.3755199909210205
17,BLOCKED_AB,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9887800216674805,0.9876999855041504,0.8036068677902222,0.31416621804237366,0.4787200093269348,0.3813300132751465
17,BLOCKED_AB,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.5026800036430359,0.9685199856758118,0.03451278805732727,0.6784661710262299,0.016529977321624756,0.03167998790740967
17,BLOCKED_BA,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9758599996566772,0.9797000288963318,0.07269719243049622,0.6435814797878265,0.09925001859664917,0.10171002149581909
17,BLOCKED_BA,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9876800179481506,0.9868599772453308,0.06662879884243011,0.6414140462875366,0.11225995421409607,0.11320993304252625
17,BLOCKED_BA,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9709399938583374,0.5033199787139893,0.0009874552488327026,0.6840465068817139,0.1113700121641159,0.11546000838279724
17,INTERLEAVED,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9794999957084656,0.9817000031471252,0.6281082034111023,0.4710056930780411,0.3713899850845337,0.34366998076438904
17,INTERLEAVED,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9883599877357483,0.9872000217437744,0.6297143697738647,0.47068874537944794,0.3803099989891052,0.3557300269603729
17,INTERLEAVED,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9646599888801575,0.9645199775695801,0.5647494792938232,0.5148847699165344,0.3071099817752838,0.2876700162887573
18,BLOCKED_AB,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9781200289726257,0.9804400205612183,0.7655620574951172,0.3518025279045105,0.46052998304367065,0.3739699721336365
